epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,7008.74,0.5059,0.36758,0.86945,0.89497,0.82372,0.89267,0.66486,0.9451,0.64058,1.02531,0.0005744,0.0005744,0.0005744
74,7207.61,0.50273,0.36616,0.87352,0.90417,0.82032,0.89512,0.66813,0.94054,0.63319,1.02443,0.0005546,0.0005546,0.0005546
75,7406.52,0.5049,0.36498,0.8734,0.90487,0.82189,0.89554,0.67117,0.9448,0.63199,1.02235,0.0005348,0.0005348,0.0005348
76,7604.9,0.49321,0.35786,0.86976,0.89958,0.82993,0.89662,0.66983,0.9342,0.62097,1.01951,0.000515,0.000515,0.000515
77,7803.53,0.49388,0.36194,0.87221,0.90222,0.82543,0.89725,0.67729,0.92279,0.6185,1.01844,0.0004952,0.0004952,0.0004952
78,8002.14,0.48289,0.35228,0.87056,0.91027,0.82414,0.89714,0.67578,0.92611,0.6204,1.01809,0.0004754,0.0004754,0.0004754
79,8201.28,0.47083,0.34362,0.8625,0.9049,0.8307,0.90056,0.68108,0.91773,0.606,1.01473,0.0004556,0.0004556,0.0004556
80,8399.87,0.47878,0.34806,0.86718,0.90439,0.83695,0.90228,0.68393,0.9133,0.60872,1.01212,0.0004358,0.0004358,0.0004358
81,8598.66,0.47572,0.34376,0.86421,0.90879,0.83211,0.9029,0.68439,0.90374,0.59985,1.00315,0.000416,0.000416,0.000416
82,8797.22,0.4802,0.35168,0.86804,0.90779,0.83024,0.90219,0.68308,0.91136,0.60656,1.00462,0.0003962,0.0003962,0.0003962
83,8996.51,0.47187,0.34462,0.86126,0.90784,0.8335,0.90422,0.68751,0.90057,0.59046,0.99945,0.0003764,0.0003764,0.0003764
84,9157.17,0.47426,0.3408,0.85866,0.91001,0.83632,0.90507,0.69063,0.89222,0.58826,0.99797,0.0003566,0.0003566,0.0003566
85,9225.28,0.46369,0.3372,0.86316,0.90804,0.83884,0.90521,0.69385,0.88344,0.5868,0.9936,0.0003368,0.0003368,0.0003368
86,9287.27,0.4597,0.33295,0.86075,0.91158,0.83828,0.90794,0.69731,0.88781,0.58232,0.99713,0.000317,0.000317,0.000317
87,9348.59,0.46026,0.33515,0.85656,0.91179,0.83992,0.90742,0.69862,0.87977,0.57944,0.99254,0.0002972,0.0002972,0.0002972
88,9409.84,0.45947,0.3318,0.85928,0.91349,0.84108,0.90977,0.70054,0.87252,0.5701,0.98699,0.0002774,0.0002774,0.0002774
89,9469.26,0.46054,0.33211,0.85923,0.91644,0.84315,0.91153,0.70439,0.86392,0.5666,0.98284,0.0002576,0.0002576,0.0002576
90,9528.41,0.45447,0.33027,0.85752,0.91889,0.83985,0.90869,0.70124,0.86268,0.56676,0.98658,0.0002378,0.0002378,0.0002378
91,9610.23,0.94704,0.61488,1.01457,0.92043,0.8381,0.91137,0.70133,0.87211,0.58052,0.98384,0.000218,0.000218,0.000218
92,9667.14,0.90412,0.58055,0.99529,0.921,0.84416,0.9145,0.71007,0.85831,0.56,0.97968,0.0001982,0.0001982,0.0001982
93,9725.33,0.89048,0.57381,0.98478,0.92183,0.84946,0.91774,0.71666,0.84084,0.54443,0.97062,0.0001784,0.0001784,0.0001784
94,9785.94,0.88402,0.56038,0.98089,0.92391,0.84999,0.91885,0.71986,0.8317,0.54369,0.96641,0.0001586,0.0001586,0.0001586
95,9958.78,0.88343,0.56236,0.98024,0.92475,0.85502,0.92102,0.72355,0.82329,0.5299,0.95953,0.0001388,0.0001388,0.0001388
96,10049.8,0.86355,0.54909,0.97442,0.92693,0.85449,0.92182,0.72531,0.81865,0.5249,0.95662,0.000119,0.000119,0.000119
97,10111,0.86675,0.54917,0.97628,0.92802,0.85765,0.92414,0.73071,0.81285,0.51769,0.95447,9.92e-05,9.92e-05,9.92e-05
98,10170.9,0.85223,0.53493,0.96935,0.9299,0.85834,0.92507,0.73322,0.80601,0.51131,0.95088,7.94e-05,7.94e-05,7.94e-05
99,10230.5,0.8431,0.53183,0.96808,0.92847,0.86021,0.92542,0.73535,0.79721,0.50691,0.947,5.96e-05,5.96e-05,5.96e-05
100,10289,0.83997,0.52963,0.96269,0.92985,0.85973,0.92572,0.73556,0.79456,0.5048,0.94499,3.98e-05,3.98e-05,3.98e-05
